Geography,Count of 1,Sum of MIN Tract,Sum of LMI Tract,Sum of Total Persons,Sum of Total Families,Sum of Total HHs,Sum of Total Female Pop,Sum of Total Male Pop,Sum of Total Minority Pop,Average of Minority Pop as Percent of Tract Pop,Sum of Total Pop Hispanic only,Sum of Total Pop Non-Hispanic White,Sum of Total Pop Non-Hispanic American Indian/Alaska Native,Sum of Total Pop Non-Hispanic Native Hawaiian/other Pacific Islander,Sum of Total Pop Non-Hispanic Black/African American,Sum of Total Pop Non-Hispanic Asian,Sum of Total Pop Householder in Family HHs,Sum of Total Pop in Family HHs,Sum of Total Male Householders in Family HHs,Sum of Total Female Householders in Family HHs,Sum of Total Spouse Householder in Family HHs,Sum of Total Children in Family HHs,Sum of Total Grandchildren in Family HHs,Sum of Total Parents in Family HHs,Sum of Total Other Relatives in Family HHs,Sum of Total Non-relatives in Family HHs,Sum of Total Pop in Non-Family HHs,Sum of Total Male Households in Non-Family HHs,Sum of Total Male Householders living alone in Non-Family HHs,Sum of Total Male Householders not living alone in Non-Family HHs,Sum of Total Female Householders in Non-Family HHs,Sum of Total Female Householders living alone in Non-Family HHs,Sum of Total Female Householders not living alone in Non-Family HHs,Sum of Total nonrelatives in Non-Family HHs,Sum of Total Pop in Group Quarters,Sum of Total Pop 65 years and over,Sum of Total Population,Sum of Total Male Pop2,Sum of Total Male Pop 18 to 24 years,Sum of Total Male Pop 25 to 39 years,Sum of Total Male Pop 40 to 49 years,Sum of Total Male Pop 50 to 61 years,Sum of Total Male Pop 62 years and over,Sum of Total Female Pop2,Sum of Total Female Pop 18 to 24 years,Sum of Total Female Pop 25 to 39 years,Sum of Total Female Pop 40 to 49 years,Sum of Total Female Pop 50 to 61 years,Sum of Total Female Pop 62 years and over,Sum of Total Male/Female Pop 18 to 24 years,Sum of Total Male/Female Pop 25 to 39 years,Sum of Total Male/Female Pop 40 to 49 years,Sum of Total Male/Female Pop 50-61 years,Sum of Total Male/Female Pop 62 years and over,Average of Female Median Age,Average of Male Median Age,Average of Persons Median Age,Sum of Total Male Pop 16 and over,Sum of Total Male Pop 16 and over in Labor Force,Sum of Total Male Pop 16 and over in Armed Forces,Sum of Total Male Pop 16 and over - Civilians,Sum of Total Male Pop 16  and over - Employed,Sum of Total Male Pop 16 and over - Unemployed,Sum of Total Male Pop 16 and over - Not in Labor Force,Sum of Total Female Pop 16 and over,Sum of Total Female Pop 16 and over in Labor Force,Sum of Total Female Pop 16 and over in Armed Forces,Sum of Total Female Pop 16 and over - Civilians,Sum of Total Female Pop 16  and over - Employed,Sum of Total Female Pop 16 and over - Unemployed,Sum of Total Female Pop 16 and over - Not in Labor Force,Average of MFI - White,Average of MFI - Black,Average of MFI - American Indian/Alaska Native,Average of MFI - Asian,Average of MFI - Native Hawaiian/Pacific Islander,Average of MFI - Some other race,Average of MFI - Two or more races,Average of MFI - Hispanic or Latino,"Average of MFI - White, not Hispanic",Sum of Total Families2,Sum of Total Families with Income Below Poverty,Sum of Total Housing Units,Sum of Total Housing Units - Occupancy Status,Sum of Total Occupied Housing Units,Sum of Total Vacant Housing Units,Sum of Total Occupied Housing Units - Tenure,Sum of Total Owner Occupied Housing Units - Tenure,Sum of Total Renter Occupied Housing Units - Tenure,Average of Median Year Structure Built,Average of Median Gross Rent - Dollars,Average of Median Value (Dollars) for all Owner Occupied Housing Units,Average of MFI as Percent of MSA MFI,Average of MSA MFI,Sum of Low Income,Sum of Moderate Income,Sum of Middle Income,Count of Upper Income,Sum of LMI Pop,Sum of MIN Pop
"Carlisle County, KY",4,0,1,10208,3020,4124,5224,4984,396,3.875,166,9812,46,0,70,28,3020,8864,2140,880,2380,2780,308,0,112,224,1212,334,302,32,770,712,58,108,176,1996,10208,4984,362,868,720,868,1012,5224,356,858,674,872,1310,718,1726,1394,1740,2322,43,41,42.5,3968,2556,0,2416,2282,274,1412,4394,1922,0,1838,1674,248,2472,42016.75,0,0,0,0,0,0,0,42112.5,3020,330,4930,4930,4124,806,4124,3466,658,1972,477,67000,95.735,46900,0,1,2,4,0,0
"Carlton County, MN",7,0,1,35386,9449,13724,16973,18413,3928,13.07571429,484,31458,2012,2,494,160,9449,28456,5777,3672,7598,9806,286,141,265,733,4882,2127,1796,331,2148,1935,213,607,1620,5171,35386,18413,1499,3547,2807,3274,2951,16973,1137,2902,2403,2985,3517,2636,6449,5210,6259,6468,41.28571429,38.71428571,39.85714286,14398,9313,42,9012,8519,752,5085,13243,8324,0,8043,7826,498,4919,62974.57143,0,28523.57143,3535.714286,0,0,23198.42857,17172.57143,62862.42857,9449,692,15515,15515,13724,1791,13724,11044,2680,1970.285714,722.8571429,161385.7143,99.46714286,63500,0,1,5,7,0,0
"Carolina County, PR",42,41,2,176762,45039,61436,94898,81864,175131,96.45857143,174234,1631,31,6,378,305,45039,159432,22749,22290,25865,64242,9137,2636,5641,4328,19261,6728,5592,1136,9669,8760,909,2864,663,27083,176762,81864,8259,16526,10834,10897,14491,94898,8599,18777,12657,14482,20537,16858,35303,23491,25379,35028,40,35.69047619,38.21428571,63919,38758,34,37148,34252,4472,25161,77935,37505,26,36471,33226,4253,40430,33007.11905,35306.38095,473.2142857,3807.190476,0,27249.2619,24445.40476,30807.92857,10927.40476,45039,12103,72964,72964,61436,11528,61436,45092,16344,1879.785714,563.4761905,152966.6667,125.0745238,27000,1,1,17,42,4620,176762
"Caroline County, MD",9,0,1,33066,8673,11828,16943,16123,7213,21.09777778,1816,25853,95,9,4520,186,8673,28122,4405,4268,6646,9821,1040,328,382,967,4111,1287,1043,244,1868,1558,310,956,572,4292,33066,16123,1440,2916,2385,2692,2445,16943,1405,3020,2499,2863,3054,2845,5936,4884,5555,5499,39.66666667,37.22222222,38.33333333,12326,9073,22,8592,8475,576,3253,13179,8207,0,7828,7684,523,4972,69914.22222,65902.22222,0,13032.88889,0,21393.44444,3145.888889,36241.44444,70532.11111,8673,692,13427,13427,11828,1599,11828,8962,2866,1977,875.7777778,238766.6667,108.0211111,67700,0,1,5,9,0,0
"Caroline County, VA",8,0,3,57090,14630,20540,28986,28104,20800,36.8875,1918,36290,378,36,16594,340,14630,47554,8184,6446,10682,16542,2120,620,1452,1044,6968,2614,2396,218,3296,2830,466,1058,1166,6874,57090,28104,2096,5812,4224,4796,4296,28986,2190,5704,4090,4998,5196,4286,11516,8314,9794,9492,41.125,39.125,39.875,21614,14970,86,14426,13516,1368,6644,22178,13750,0,13408,12680,1070,8428,66010.5,57900.25,9875,14859.375,0,8300.75,56055.125,43208.5,65718.5,14630,792,22908,22908,20540,2368,20540,17034,3506,1985.125,831.875,216075,88.82625,77600,0,3,5,8,0,0
"Carroll County, AR",6,0,0,54892,15788,22874,27830,27062,8768,14.44,6978,46124,448,32,148,320,15788,43778,9756,6032,12732,12124,1438,82,684,742,8480,3444,2558,886,3642,3078,564,1394,1684,9608,54892,27062,2112,4352,3534,4824,5938,27830,1804,4292,3540,5322,6808,3916,8644,7074,10146,12746,44.83333333,42.83333333,43.83333333,21278,14052,0,12960,12664,1388,7226,22006,12030,0,11350,11380,650,9976,43573.33333,5448,36237.33333,4386.5,0,19939.16667,37077.16667,26786.33333,44026.33333,15788,2114,26612,26612,22874,3738,22874,15902,6972,1979.833333,578.8333333,119266.6667,99.915,46300,0,0,6,6,0,0
"Carroll County, GA",17,1,9,110527,27962,39421,56734,53793,29996,27.50647059,6800,80531,296,19,19862,836,27962,91368,16221,11741,20914,32604,2792,968,2523,2582,15080,5244,3656,1588,6215,5264,951,3621,2779,11327,110527,53793,6828,11006,7455,7522,6674,56734,7645,11108,7492,8059,8614,14473,22114,14947,15581,15288,35.17647059,33.41176471,34.41176471,40367,28600,64,27720,25666,2870,11767,43903,25570,14,24871,22795,2761,18333,56983.64706,40715.23529,5042.882353,1847.235294,0,7104.647059,14918.58824,26247.47059,59370.35294,27962,3507,44431,44431,39421,5010,39421,26806,12615,1985.764706,757.1764706,141117.6471,77.81882353,70700,1,8,8,17,2920,2920
"Carroll County, IA",7,0,0,41632,11218,17322,21350,20282,1394,3.097142857,666,40238,40,0,164,184,11218,32898,7658,3560,9196,11320,226,62,124,654,6806,2596,2172,424,3508,3296,212,702,1906,7896,41632,20282,1380,3386,2860,3742,3646,21350,1326,3314,2802,3560,5264,2706,6700,5662,7302,8910,42.71428571,40.14285714,41.42857143,15486,11992,0,11108,11650,342,3494,16990,10774,0,10088,10490,284,6216,61766.57143,0,0,2342.428571,0,7951.714286,10851.71429,6261.714286,61979.71429,11218,864,18660,18660,17322,1338,17322,12992,4330,1953.857143,490.2857143,98714.28571,108.5385714,62000,0,0,7,7,0,0
"Carroll County, IL",7,0,1,30774,9610,14020,15358,15416,1582,5.124285714,874,29192,70,4,244,106,9610,25728,6226,3384,7686,6972,270,100,202,774,4842,2162,1896,266,2248,1988,260,432,660,6548,30774,15416,1130,2398,2034,2858,3682,15358,976,2236,1960,2940,4238,2106,4634,3994,5798,7920,47.28571429,44.28571429,45.85714286,12836,8750,0,8202,8014,736,4086,12854,7682,12,7162,7292,378,5172,55849.85714,0,0,8239.857143,0,7386.428571,8678.571429,23151.85714,56189,9610,746,16764,16764,14020,2744,14020,10692,3328,1954.428571,546.2857143,103057.1429,102.6085714,60100,0,1,4,7,0,0
"Carroll County, IN",8,0,0,40310,11354,16066,20110,20200,1934,4.67375,1422,38376,66,2,84,40,11354,34446,7726,3628,9838,12002,306,136,172,612,5392,2264,1938,326,2448,2262,186,680,432,6150,40310,20200,1610,3416,2830,3682,3592,20110,1346,3398,2716,3558,4248,2956,6814,5546,7240,7840,41.625,39.75,40.625,15680,11066,46,10528,10220,800,4614,15826,9592,0,9210,8984,608,6234,61523.25,0,0,0,0,2099.125,5305.375,15601.375,61669.75,11354,688,18844,18844,16066,2778,16066,12786,3280,1958.25,555.5,112425,99.4675,63500,0,0,8,8,0,0
"Carroll County, KY",4,0,0,21622,5968,8444,10610,11012,2472,9.7875,1578,19150,50,4,320,116,5968,17676,3270,2698,4000,5900,528,142,282,488,3490,1320,916,404,1156,1022,134,1014,240,2768,21622,11012,960,2290,1582,1786,1602,10610,820,2018,1518,1702,1908,1780,4308,3100,3488,3510,38.25,36.5,37.5,8332,5898,0,5806,5074,824,2434,8370,4998,0,4698,4258,740,3372,47217.5,1249.5,0,0,0,0,0,58801,49432.75,5968,1126,9358,9358,8444,914,8444,5516,2928,1981,627.5,109425,106.3925,46900,0,0,4,4,0,0
"Carroll County, MD",38,0,2,167134,44863,59412,84624,82510,14706,8.806578947,4363,152428,288,47,5229,2402,44863,144430,29308,15555,37473,51703,2722,1481,3050,2338,17779,6201,4684,1517,8348,7231,1117,3230,4999,20652,167134,82510,7360,12574,14462,14757,12259,84624,6555,12953,14808,14822,15347,13915,25527,29270,29579,27606,41.47368421,39.23684211,40.39473684,63771,48276,188,45990,46206,1882,15495,66594,42128,10,40484,40840,1278,24466,95234.92105,55861.97368,7347.894737,56666.73684,0,2940.763158,6578.973684,29697.5,95553.47368,44863,1787,62027,62027,59412,2615,59412,49854,9558,1979.684211,955.1052632,350168.4211,116.7357895,89600,0,2,18,38,0,0
"Carroll County, MO",4,0,0,18590,5430,7736,9518,9072,804,4.065,236,17786,42,16,298,20,5430,16354,3734,1696,4580,5442,246,22,228,330,2598,938,820,118,1368,1230,138,292,18,3564,18590,9072,634,1510,1244,1576,1886,9518,654,1602,1204,1512,2384,1288,3112,2448,3088,4270,42.5,41.25,42,7278,5214,28,4742,4852,334,2064,7794,4500,0,4142,4274,226,3294,56658,15136,0,0,0,0,0,15859.5,56679.5,5430,458,9410,9410,7736,1674,7736,6050,1686,1958.75,489.5,74750,122.475,49700,0,0,2,4,0,0
"Carroll County, MS",3,0,1,21194,5894,7978,10602,10592,7340,34.15333333,212,13854,30,0,6888,38,5894,18234,2674,3220,4384,6088,450,322,898,32,2148,966,922,44,1118,1070,48,64,834,3444,21194,10592,876,1844,1442,2010,2072,10602,754,1726,1442,2008,2454,1630,3570,2884,4018,4526,44,41.33333333,42.66666667,8566,3854,0,3562,3500,354,4712,8728,4638,0,4406,3904,734,4090,55883.33333,16883,0,0,0,0,0,0,56047,5894,1156,10112,10112,7978,2134,7978,6492,1486,1980.666667,493,67566.66667,102.2,44800,0,1,1,3,0,0
"Carroll County, NH",11,0,4,47818,13113,19955,24132,23686,1533,3.115454545,473,46285,122,7,126,297,13113,38802,7848,5265,10683,12014,681,449,599,1096,8599,3220,2482,738,3622,2998,624,1757,371,9347,47818,23686,1421,3182,3511,4975,5983,24132,1309,3269,3716,5186,6349,2730,6451,7227,10161,12332,48.09090909,47.54545455,48,19514,13394,12,12389,12427,955,6120,20203,11831,0,11247,11322,509,8372,59022.09091,0,22954.54545,0,0,0,7528.454545,1545.454545,58925.09091,13113,805,39360,39360,19955,19405,19955,16093,3862,1975.727273,868,246454.5455,88.84818182,71600,0,4,6,11,0,0
"Carroll County, OH",8,0,1,57672,16142,22976,28880,28792,1584,2.6925,476,56088,140,0,266,112,16142,48834,10226,5916,13480,16098,1134,336,454,1050,7878,3276,2858,418,3558,3126,432,1044,1264,9278,57672,28792,2096,4716,4098,5398,5588,28880,2016,4596,4070,5434,6386,4112,9312,8168,10832,11974,43.375,41.5,42.5,22824,15462,4,14788,14252,1206,7362,23108,12632,0,12172,11908,724,10476,51861.25,3281.25,0,0,0,0,6256.5,5734.75,51994.5,16142,1452,27246,27246,22976,4270,22976,18766,4210,1969.625,560.625,111325,92.90375,58900,0,1,7,8,0,0
"Carroll County, TN",9,0,1,57044,14810,22180,29492,27552,8134,12.45555556,1190,48910,216,16,5702,102,14810,47008,8838,5972,11476,15334,1892,508,1012,1256,8518,3252,2788,464,4118,3858,260,1148,1762,10026,57044,27552,2780,4448,3888,4578,5474,29492,2706,4604,4096,4884,7080,5486,9052,7984,9462,12554,37.88888889,35.33333333,36.77777778,22180,13960,100,13460,12242,1618,8220,23894,12750,56,12098,11492,1202,11144,42455.11111,23516.33333,7873,9375,0,0,19621.44444,22197.55556,42606.88889,14810,2106,26418,26418,22180,4238,22180,17136,5044,1754,436.8888889,68877.77778,91.12555556,47800,0,1,6,9,0,0
"Carroll County, VA",7,0,1,30042,8893,12818,15221,14821,1222,3.851428571,776,28820,49,5,177,51,8893,25401,5833,3060,7437,7197,715,204,409,352,4192,1901,1703,198,2024,1987,37,267,392,5798,30042,14821,1016,2437,2204,2742,3202,15221,968,2415,2166,2709,3965,1984,4852,4370,5451,7167,45.28571429,43.14285714,44.14285714,12149,7640,47,7210,6920,673,4509,12472,6366,0,6011,5868,498,6106,44478.57143,0,0,0,0,0,0,0,44478.57143,8893,974,16356,16356,12818,3538,12818,9770,3048,1975.714286,536.4285714,98985.71429,91.28571429,52700,0,1,6,7,0,0
"Carson City County, NV",14,1,3,55274,13558,21467,26586,28688,16191,25.88714286,11777,39083,1096,91,1003,1139,13558,44497,7945,5613,9747,15381,1626,598,1102,1621,9791,3793,3201,592,4116,3380,736,1882,1087,8868,55274,28688,2497,5591,4381,4983,5184,26586,2178,4291,3587,4641,6126,4675,9882,7968,9624,11310,40.5,37.71428571,38.85714286,22862,15815,38,14846,13443,2334,7047,21557,12940,4,12154,11570,1366,8617,63310.78571,0,16153.71429,31137.71429,0,41913,17004.42857,33751.64286,66103.35714,13558,1304,23432,23432,21467,1965,21467,13381,8086,1839.142857,830.5,264042.8571,94.98071429,68700,0,3,9,14,0,4387
"Carson County, TX",3,0,0,12364,3634,4830,6280,6084,1418,11.18333333,1050,10946,112,0,70,38,3634,11270,2320,1314,3220,3854,82,120,102,156,1278,602,580,22,594,566,28,82,20,2252,12364,6084,348,968,816,1166,1176,6280,376,968,856,1156,1360,724,1936,1672,2322,2536,42.33333333,41,42.33333333,4832,3348,0,3184,3288,60,1484,4982,2572,0,2456,2466,106,2410,66174,0,61666.66667,0,0,46805.33333,0,75250,65091,3634,158,5614,5614,4830,784,4830,4118,712,1964,587,81433.33333,115.4433333,62600,0,0,2,3,0,0
"Carter County, KY",8,0,1,55440,15020,21154,27834,27606,1580,2.73875,642,53860,130,4,290,92,15020,45974,8952,6068,12390,16148,708,178,500,802,7444,2492,2104,388,3642,3122,520,1310,2224,8600,55440,27606,2562,5212,3768,4524,4750,27834,2528,4974,3926,4602,5586,5090,10186,7694,9126,10336,40.125,37.25,38.625,21628,12476,46,11810,11098,1332,9152,22698,10872,0,10546,10238,634,11826,40658.875,0,0,0,0,0,6583.25,0,40864.625,15020,2274,24544,24544,21154,3390,21154,16474,4680,1978.5,542.125,71962.5,93.13875,46900,0,1,6,8,0,0
"Carter County, MO",3,0,2,12530,3076,4870,6420,6110,546,4.533333333,208,11984,130,2,10,18,3076,10166,1578,1498,2426,3806,174,124,182,216,2096,786,692,94,1008,850,158,302,20,1994,12530,6110,506,1028,842,1058,1194,6420,550,986,878,1102,1356,1056,2014,1720,2160,2550,41.33333333,40.66666667,41.33333333,4638,2830,0,2718,2578,252,1808,5106,2796,0,2634,2538,258,2310,35298.66667,0,0,0,0,0,47222,18006,35132.33333,3076,476,6458,6458,4870,1588,4870,3760,1110,1978.333333,347.6666667,88466.66667,77.72333333,49700,0,2,1,3,0,0
"Carter County, MT",2,0,0,2320,796,1160,1148,1172,56,2.41,16,2264,22,0,2,2,796,2146,538,258,722,550,4,18,34,22,412,176,138,38,188,176,12,48,20,648,2320,1172,82,148,152,266,300,1148,76,116,174,260,340,158,264,326,526,640,51,48,50,1092,824,0,678,824,0,268,1120,674,0,568,668,6,446,48636,0,0,0,0,0,0,0,48636,796,68,1696,1696,1160,536,1160,870,290,1960,434,66200,88.7,60000,0,0,2,2,0,0
"Carter County, OK",11,1,2,47557,11996,17648,24366,23191,13059,27.49545455,2528,34498,4080,8,3134,502,11996,39247,6366,5630,9050,14187,1235,519,887,1057,6720,2377,2037,340,3275,2917,358,1068,1026,7082,47557,23191,1852,4504,3088,3800,3750,24366,1804,4530,3091,4047,4844,3656,9034,6179,7847,8594,38.90909091,36.63636364,37.81818182,17313,11306,21,10558,10665,620,6007,18866,10290,0,9841,9927,363,8576,48213.81818,21349.09091,42700.27273,6505.636364,0,0,41483.90909,29595.18182,48388.27273,11996,1286,21135,21135,17648,3487,17648,12498,5150,1967.090909,547.7272727,78890.90909,96.25818182,52700,0,2,9,11,0,4932
"Carter County, TN",17,0,9,57424,16292,23933,29327,28097,2575,4.461176471,890,54849,110,8,743,180,16292,47015,9529,6763,12210,14681,1048,606,615,1161,9101,3733,3085,648,3908,3403,505,1460,1594,9590,57424,28097,2699,4995,4216,4829,5489,29327,2746,4982,4051,5167,6718,5445,9977,8267,9996,12207,42.64705882,40.58823529,41.52941176,22992,13944,43,13356,12644,1257,9048,24289,12337,0,11789,11205,1132,11952,39780.70588,2911.411765,0,0,0,14852.94118,1451.294118,18711.47059,39718.64706,16292,3062,27580,27580,23933,3647,23933,17543,6390,1976.058824,470.4117647,93158.82353,83.56352941,52400,0,9,8,17,0,0
"Carteret County, NC",39,0,1,66469,18524,28632,33640,32829,8368,10.32230769,2241,58101,283,63,3986,576,18524,52348,11385,7139,14461,15564,980,220,829,1262,12007,4745,3824,921,5363,4756,607,1899,713,11801,66469,32829,2454,5620,4613,6217,7412,33640,2300,5193,4801,6847,8437,4754,10813,9414,13064,15849,44.38461538,41.76923077,43.02564103,26505,17879,677,16049,15960,1242,8626,27743,15573,271,14348,13764,1538,12170,56893.64103,6358.25641,0,64.07692308,0,3013.769231,0,2871.307692,57056.74359,18524,1492,47459,47459,28632,18827,28632,21043,7589,1829.974359,698.5641026,239792.3077,117.7553846,50000,0,1,17,39,0,0
"Carver County, MN",19,0,1,91042,24468,32202,45806,45236,8506,8.196842105,3515,82536,186,9,1068,2456,24468,78703,15746,8722,20972,30941,291,202,457,1137,9261,3515,2660,855,4219,3652,567,1527,704,7258,91042,45236,3056,8527,8197,7168,4388,45806,2837,8827,8383,7059,5395,5893,17354,16580,14227,9783,37.21052632,36,36.57894737,32140,27101,0,26214,25729,1372,5039,32668,22919,0,22361,21941,978,9749,102649.9474,5465.473684,0,39967.47368,0,13169.89474,19565.10526,32663.42105,103181.3684,24468,743,33831,33831,32202,1629,32202,26912,5290,1987.263158,862.3684211,322052.6316,126.6705263,85700,0,1,7,19,0,0
"Cascade County, MT",22,0,5,81327,21965,33164,40759,40568,10227,13.62090909,2711,71100,3274,78,958,665,21965,65154,13340,8625,17482,21857,1053,628,602,1110,13289,5619,4646,973,5580,4868,712,2090,2119,12264,81327,40568,4287,7658,5243,6694,7038,40759,3967,7145,5252,7102,8311,8254,14803,10495,13796,15349,39.68181818,37.13636364,38.40909091,31633,21963,2490,18410,18372,1101,9670,32587,19639,404,18414,18147,1088,12948,53916.22727,2619.090909,21974.90909,0,0,1110.909091,17295.77273,29377.95455,53930.90909,21965,2395,36890,36890,33164,3726,33164,22164,11000,1962.772727,609,133545.4545,97.74545455,61600,0,5,14,22,0,0
"Casey County, KY",6,0,2,31910,8430,12024,16336,15574,1258,3.735,756,30652,54,0,160,54,8430,27356,5480,2950,6952,9806,860,126,570,514,3972,1548,1456,92,2046,1872,174,378,550,5042,31910,15574,1194,2790,2208,2640,2894,16336,1208,2990,2118,2752,3586,2402,5780,4326,5392,6480,41.33333333,39.66666667,40.5,12010,7116,0,6828,6594,522,4894,12940,6502,0,6184,6098,404,6438,37094.33333,0,0,0,0,0,0,3194.5,37139.66667,8430,1834,15014,15014,12024,2990,12024,10232,1792,1976.333333,482,68183.33333,85.53166667,46900,0,2,4,6,0,0
"Cass County, IA",6,0,1,27912,7898,12000,14274,13638,908,3.093333333,506,27004,46,90,66,60,7898,22366,5226,2672,6218,7368,144,54,194,480,4726,1982,1608,374,2120,2014,106,624,846,5930,27912,13638,908,2180,1706,2510,2998,14274,888,2124,1840,2500,3882,1796,4304,3546,5010,6880,46,42.33333333,44.16666667,10920,8036,0,7396,7778,258,2884,11530,6872,0,6296,6444,428,4658,48556.33333,1645.833333,0,0,0,0,8724,2377.166667,48734.66667,7898,866,13244,13244,12000,1244,12000,8526,3474,1945.666667,507.8333333,80900,86.32666667,62000,0,1,5,6,0,0
